mission_id,waypoint_id,x,y,z,is_primary
PRIMARY_DRONE_1,0,697.7405813576013,814.9545017540152,135.98650994909735,True
PRIMARY_DRONE_1,1,606.3258669302185,770.8567534366276,139.06158631039514,True
PRIMARY_DRONE_1,2,509.37972666110966,737.0684357066064,140.40023365245716,True
PRIMARY_DRONE_1,3,398.62842408969067,705.1750365633347,135.98650994909735,True
SIM_DRONE_1,0,206.40413302211994,217.5459669914057,117.22882609810212,False
SIM_DRONE_1,1,354.6656860088822,230.53051651466748,112.76259338291314,False
SIM_DRONE_1,2,543.6563200742994,256.67030978145726,117.33279380053159,False
SIM_DRONE_1,3,779.4718621034384,284.10696052783567,117.22882609810212,False
SIM_DRONE_2,0,197.53203203179663,133.40256614822474,131.42084139807173,False
SIM_DRONE_2,1,387.5774271632086,165.67844506124803,133.2794208955975,False
SIM_DRONE_2,2,569.042663645439,217.02782155938917,129.07892072246256,False
SIM_DRONE_2,3,802.4850765588253,308.09367202503324,131.42084139807173,False
SIM_DRONE_3,0,310.03647209427874,898.0850821345551,115.63473602116053,False
SIM_DRONE_3,1,234.80107250552513,731.9799069254677,120.6105731985338,False
SIM_DRONE_3,2,205.11388193432052,537.7019269381512,111.48096508840453,False
SIM_DRONE_3,3,200.70926383646344,349.1245706069707,110.8812980642628,False
SIM_DRONE_3,4,201.32158166775235,200.12126636629108,115.63473602116053,False
SIM_DRONE_4,0,197.5451182534757,215.7299956548767,110.74955205736964,False
SIM_DRONE_4,1,349.97982363236525,375.47797172521774,107.33816122412759,False
SIM_DRONE_4,2,469.8841532283251,525.7156689375786,110.56223741112527,False
SIM_DRONE_4,3,576.8428072704942,662.8836418621927,107.40742281697703,False
SIM_DRONE_4,4,690.4404859880118,783.4224450692931,110.74955205736964,False
SIM_DRONE_5,0,778.0384500089441,306.51307470216113,96.52058151481006,False
SIM_DRONE_5,1,675.5648761701419,443.4163750257616,98.42830555726009,False
SIM_DRONE_5,2,546.6001161316503,583.3990927889674,92.02907728029345,False
SIM_DRONE_5,3,391.92224127013134,702.1989753362451,96.52058151481006,False
