mission_id,waypoint_id,x,y,z,is_primary
PRIMARY_DRONE_1,0,433.77487414642593,603.8968019581248,105.78261179994148,True
PRIMARY_DRONE_1,1,505.50182547542653,653.6369094095638,101.10010347019526,True
PRIMARY_DRONE_1,2,608.4578633496435,724.2047982764967,109.93219041911885,True
PRIMARY_DRONE_1,3,707.9211873950562,825.6259285935593,105.78261179994148,True
SIM_DRONE_1,0,375.5633296020292,558.9124227326652,114.99019803681466,False
SIM_DRONE_1,1,297.71382314312086,486.81341609349613,117.80823636166613,False
SIM_DRONE_1,2,230.01767875560657,423.43994185594784,116.6428933581236,False
SIM_DRONE_1,3,168.40790223224863,372.5932756920262,113.66290149018054,False
SIM_DRONE_1,4,108.8174993658092,338.0746932737372,114.99019803681466,False
SIM_DRONE_2,0,235.07987592924513,133.964812730433,143.42259927908992,False
SIM_DRONE_2,1,279.68672969221916,358.502768846955,147.21173302510877,False
SIM_DRONE_2,2,355.96735782327073,569.9775761740176,138.66800521850624,False
SIM_DRONE_2,3,418.5143783457926,727.2803398846667,143.42259927908992,False
SIM_DRONE_3,0,405.53364718020936,759.7480137567015,146.34262861722692,False
SIM_DRONE_3,1,379.2304060785386,805.8231804126812,149.180335962388,False
SIM_DRONE_3,2,344.7367068439659,846.8221741766723,146.34262861722692,False
SIM_DRONE_4,0,202.5339217825337,195.30359817756147,82.226510318482,False
SIM_DRONE_4,1,341.1788559539201,195.53450337813945,82.7799852284933,False
SIM_DRONE_4,2,512.2609090254293,206.52306384432217,83.6679978053312,False
SIM_DRONE_4,3,680.3827463757568,239.39433853997457,78.31270618984794,False
SIM_DRONE_4,4,810.1470333835977,305.27338642896143,82.226510318482,False
SIM_DRONE_5,0,823.5458710035311,323.20327716082284,127.55440921077198,False
SIM_DRONE_5,1,753.1265955013117,461.7373318408747,126.80969662990523,False
SIM_DRONE_5,2,723.8055328218067,642.7818282183691,132.11020248635322,False
SIM_DRONE_5,3,675.4626930889552,785.3755478709311,127.55440921077198,False
